 1.0d-08     1.0d-14     -1.0d+32
'DEPT_1'     100      10      10      1.0d0
'DEPT_2'     100      10      10      5.0d0
'DEPT_3'     100      10      10     10.0d0
'DPJB_1'     100      10      10      0.1d0
'DPJB_2'     100      10      10      0.5d0
'DPJB_3'     100      10      10      0.9d0
'DMSA_A'     100      10      10      0.0d0
'DMSA_B'     100      10      10      0.0d0
'DMSA_C'     100      10      10      0.0d0
'DODC_A'     100      10      10      8.0d-3
'DODC_B'     100      10      10      2.0d-3
'DODC_C'     100      10      10      2.0d-2
'DSSC_A'     100      10      10      5.0d0
'DSSC_B'     100      10      10      5.0d0
'DSSC_C'     100      10      10      5.0d0
'DGL1_A'     100     100       1      5.0d0
'DGL1_B'     100     100       1      2.3d0
'DGL2_A'     100       5       5      4.0d0
'DGL2_B'     100       5       5      8.0d0
'DGL2_C'     100       5       5      1.6d1
'STOP'         0       0       0      0.0d0



